AA,0,0,84.93%
KK,0,0,82.12%
QQ,0,0,79.63%
JJ,0,0,77.15%
TT,0,0,74.66%
99,0,0,71.67%
88,0,0,68.72%
AK,0,1,66.22%
77,0,0,65.73%
AQ,0,1,65.31%
AJ,0,1,64.40%
AK,1,0,64.47%
AT,0,1,63.49%
AQ,1,0,63.51%
AJ,1,0,62.54%
KQ,0,1,62.41%
66,0,0,62.70%
A9,0,1,61.51%
AT,1,0,61.57%
JK,0,1,61.48%
8A,0,1,60.51%
KT,0,1,60.59%
KQ,1,0,60.43%
7A,0,1,59.39%
A9,1,0,59.45%
JK,1,0,59.44%
55,0,0,59.64%
JQ,0,1,59.07%
9K,0,1,58.64%
5A,0,1,58.06%
6A,0,1,58.18%
8A,1,0,58.37%
KT,1,0,58.49%
QT,0,1,58.17%
4A,0,1,57.14%
7A,1,0,57.17%
8K,0,1,56.79%
3A,0,1,56.34%
JQ,1,0,56.91%
9K,1,0,56.41%
5A,1,0,55.74%
6A,1,0,55.87%
9Q,0,1,56.22%
7K,0,1,55.85%
JT,0,1,56.15%
2A,0,1,55.51%
QT,1,0,55.95%
44,0,0,56.26%
4A,1,0,54.73%
6K,0,1,54.80%
8K,1,0,54.43%
8Q,0,1,54.42%
3A,1,0,53.86%
5K,0,1,53.83%
9J,0,1,54.11%
9Q,1,0,53.86%
JT,1,0,53.83%
7K,1,0,53.42%
2A,1,0,52.95%
4K,0,1,52.89%
7Q,0,1,52.52%
6K,1,0,52.30%
3K,0,1,52.07%
9T,0,1,52.38%
8J,0,1,52.31%
33,0,0,52.84%
6Q,0,1,51.68%
8Q,1,0,51.93%
5K,1,0,51.25%
9J,1,0,51.64%
2K,0,1,51.24%
5Q,0,1,50.71%
8T,0,1,50.51%
4K,1,0,50.23%
7J,0,1,50.45%
